Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

1987
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 80  -55  -21  -51  -95  -53  -06   01  -01   44   41   23   33
 90  -46  -03  -96  -94  -59  -21  -60  -31   06  -05  -20   10
100  -29  -13 -139  -41  -94  -73 -117  -71  -65  -67  -57  -31

2005
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -261 -313 -347 -351 -374 -380 -232 -201   01  121  177  188
 12 -283 -301 -340 -349 -354 -384 -381 -368 -206   72  169  204
 15 -283 -308 -340 -341 -343 -356 -353 -362 -334  -76  106  195
 20 -283 -297 -297 -329 -330 -331 -339 -324 -334 -320 -136   34
 25 -194 -163 -189 -278 -300 -298 -313 -320 -321 -326 -353 -240
 30  -18   18  -09 -178 -266 -286 -309 -316 -318 -320 -333 -324
 35   95   93  115  -24 -200 -265 -297 -306 -306 -293 -289 -278
 40   95  119  151   58  -81 -201 -251 -275 -266 -256 -243 -253
 45   81  111  144   79   31  -92 -174 -202 -204 -208 -214 -230
 50   55   98  146   85   82  -12  -71 -120 -144 -173 -173 -198
 60   42   72  124   71   91   36   18  -12  -30  -60  -77  -70
 70   04   24   78   29   73   50   44   45   00  -03  -16   08
 80  -29  -03   15   12  -03   52   40   46   05  -16  -12   19
 90  -13   10  -48  -01  -86  -24  -12   45  -15  -13  -25  -02
100  -25   23  -87  -04  -91 -119 -132  -30  -34 -103 -113  -97

2006
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10  171  127  116   06   69   19  -21  -28  -54 -137 -228 -200
 12  175  122  135   39  106   65   70   04   33  -51 -149 -179
 15  165  152  166   94  132  132  114   62   73  -07 -139 -206
 20   94  164  176  126  141  173  131   65   76   14 -123 -210
 25  -36   89  145  114  111  146  121   64   80   54   63  -35
 30 -288  -93   83   85  106  123  126   71  109   93   89   73
 35 -303 -280  -51   49   86  114  111   89  123  109   88   98
 40 -271 -261 -240  -48   89  110  117   99  133  110   89  118
 45 -214 -196 -210 -178   35  113  106   86  117   97   93  133
 50 -152 -138 -154 -201  -71   79  107   86  109   92  104  124
 60  -40  -78  -94 -102 -152  -61   60   69   89   83   76   92
 70  -14  -63  -31  -72 -125 -110  -24   08   68   76   62   81
